Terytorium	Przystąpiło/zdało 	Płeć 	Rok	Liczba osób
Dolnośląskie	passed	women	2017	6820
Dolnośląskie	passed	men	2018	5474
Dolnośląskie	passed	women	2018	6476
Kujawsko-pomorskie	took	men	2010	8001
Kujawsko-pomorskie	took	women	2010	10636
Kujawsko-pomorskie	took	men	2011	7554
Kujawsko-pomorskie	took	women	2011	10334
Kujawsko-pomorskie	took	men	2012	7218
Kujawsko-pomorskie	took	women	2012	9541
Kujawsko-pomorskie	took	men	2013	7208
Kujawsko-pomorskie	took	women	2013	9346
Kujawsko-pomorskie	took	men	2014	6700
Kujawsko-pomorskie	took	women	2014	8779
Kujawsko-pomorskie	took	men	2015	6593
Kujawsko-pomorskie	took	women	2015	8295
Kujawsko-pomorskie	took	men	2016	6002
Kujawsko-pomorskie	took	women	2016	7560
Kujawsko-pomorskie	took	men	2017	6165
Kujawsko-pomorskie	took	women	2017	7359
Kujawsko-pomorskie	took	men	2018	5615
Kujawsko-pomorskie	took	women	2018	6883
Kujawsko-pomorskie	passed	men	2010	6642
Kujawsko-pomorskie	passed	women	2010	8803
Kujawsko-pomorskie	passed	men	2011	5733
Kujawsko-pomorskie	passed	women	2011	7696
Kujawsko-pomorskie	passed	men	2012	5798
Kujawsko-pomorskie	passed	women	2012	7689
Kujawsko-pomorskie	passed	men	2013	5814
Kujawsko-pomorskie	passed	women	2013	7705
Kujawsko-pomorskie	passed	men	2014	4808
Kujawsko-pomorskie	passed	women	2014	6166
Kujawsko-pomorskie	passed	men	2015	4930
Kujawsko-pomorskie	passed	women	2015	5990
Kujawsko-pomorskie	passed	men	2016	4736
Kujawsko-pomorskie	passed	women	2016	5920
Kujawsko-pomorskie	passed	men	2017	4757
Kujawsko-pomorskie	passed	women	2017	5791
Kujawsko-pomorskie	passed	men	2018	4360
Kujawsko-pomorskie	passed	women	2018	5415
Lubelskie	took	men	2010	10442
Lubelskie	took	women	2010	13185
Lubelskie	took	men	2011	10006
Lubelskie	took	women	2011	12715
Lubelskie	took	men	2012	9670
Lubelskie	took	women	2012	11861
Lubelskie	took	men	2013	9117
Lubelskie	took	women	2013	11425
Lubelskie	took	men	2014	8448
Lubelskie	took	women	2014	10361
Lubelskie	took	men	2015	7807
Lubelskie	took	women	2015	9656
Lubelskie	took	men	2016	7336
Lubelskie	took	women	2016	9096
Lubelskie	took	men	2017	7512
Lubelskie	took	women	2017	9234
Lubelskie	took	men	2018	2543
Lubelskie	took	women	2018	3160
Lubelskie	passed	men	2010	8124
Lubelskie	passed	women	2010	10738
Lubelskie	passed	men	2011	7246
Lubelskie	passed	women	2011	9574
Lubelskie	passed	men	2012	7594
Lubelskie	passed	women	2012	9627
Lubelskie	passed	men	2013	7186
Lubelskie	passed	women	2013	9300
Lubelskie	passed	men	2014	5752
Lubelskie	passed	women	2014	7458
Lubelskie	passed	men	2015	5617
Lubelskie	passed	women	2015	7102
Lubelskie	passed	men	2016	5761
Lubelskie	passed	women	2016	7287
Lubelskie	passed	men	2017	5783
Lubelskie	passed	women	2017	7247
Lubelskie	passed	men	2018	2043
Lubelskie	passed	women	2018	2502
Lubuskie	took	men	2010	3745
Lubuskie	took	women	2010	5079
Lubuskie	took	men	2011	3351
Lubuskie	took	women	2011	4439
Lubuskie	took	men	2012	3203
Lubuskie	took	women	2012	4353
Lubuskie	took	men	2013	3121
Lubuskie	took	women	2013	4222
Lubuskie	took	men	2014	3028
Lubuskie	took	women	2014	3959
Lubuskie	took	men	2015	2811
Lubuskie	took	women	2015	3532
Lubuskie	took	men	2016	2520
Lubuskie	took	women	2016	3244
Lubuskie	took	men	2017	2687
Lubuskie	took	women	2017	3272
Lubuskie	took	men	2018	7219
Lubuskie	took	women	2018	8531
Lubuskie	passed	men	2010	3067
Lubuskie	passed	women	2010	4197
Lubuskie	passed	men	2011	2593
Lubuskie	passed	women	2011	3378
Lubuskie	passed	men	2012	2684
Lubuskie	passed	women	2012	3538
Lubuskie	passed	men	2013	2608
Lubuskie	passed	women	2013	3498
Lubuskie	passed	men	2014	2260
Lubuskie	passed	women	2014	2887
Lubuskie	passed	men	2015	2166
Lubuskie	passed	women	2015	2642
Lubuskie	passed	men	2016	2068
Lubuskie	passed	women	2016	2631
Lubuskie	passed	men	2017	2185
Lubuskie	passed	women	2017	2568
Lubuskie	passed	men	2018	5562
Lubuskie	passed	women	2018	6926
Łódzkie	took	men	2010	10280
Łódzkie	took	women	2010	13152
Łódzkie	took	men	2011	9715
Łódzkie	took	women	2011	12110
Łódzkie	took	men	2012	9181
Łódzkie	took	women	2012	11925
Łódzkie	took	men	2013	8985
Łódzkie	took	women	2013	11134
Łódzkie	took	men	2014	8318
Łódzkie	took	women	2014	10353
Łódzkie	took	men	2015	7896
Łódzkie	took	women	2015	9600
Łódzkie	took	men	2016	7462
Łódzkie	took	women	2016	8940
Łódzkie	took	men	2017	7233
Łódzkie	took	women	2017	8956
Łódzkie	took	men	2018	7178
Łódzkie	took	women	2018	8480
Łódzkie	passed	men	2010	8243
Łódzkie	passed	women	2010	10951
Łódzkie	passed	men	2011	7330
Łódzkie	passed	women	2011	9257
Łódzkie	passed	men	2012	7287
Łódzkie	passed	women	2012	9616
Łódzkie	passed	men	2013	7097
Łódzkie	passed	women	2013	9109
Łódzkie	passed	men	2014	5777
Łódzkie	passed	women	2014	7538
Łódzkie	passed	men	2015	5843
Łódzkie	passed	women	2015	7080
Łódzkie	passed	men	2016	5820
Łódzkie	passed	women	2016	7284
Łódzkie	passed	men	2017	5699
Łódzkie	passed	women	2017	7166
Łódzkie	passed	men	2018	5583
Łódzkie	passed	women	2018	6833
Małopolskie	took	men	2010	15190
Małopolskie	took	women	2010	19794
Małopolskie	took	men	2011	14637
Małopolskie	took	women	2011	18681
Małopolskie	took	men	2012	13877
Małopolskie	took	women	2012	17914
Małopolskie	took	men	2013	13273
Małopolskie	took	women	2013	16982
Małopolskie	took	men	2014	12562
Małopolskie	took	women	2014	15697
Małopolskie	took	men	2015	11843
Małopolskie	took	women	2015	14577
Małopolskie	took	men	2016	11143
Małopolskie	took	women	2016	13893
Małopolskie	took	men	2017	11016
Małopolskie	took	women	2017	13789
Małopolskie	took	men	2018	11042
Małopolskie	took	women	2018	13826
Małopolskie	passed	men	2010	12328
Małopolskie	passed	women	2010	16558
Małopolskie	passed	men	2011	11328
Małopolskie	passed	women	2011	14413
Małopolskie	passed	men	2012	11427
Małopolskie	passed	women	2012	14782
Małopolskie	passed	men	2013	10931
Małopolskie	passed	women	2013	14343
Małopolskie	passed	men	2014	8951
Małopolskie	passed	women	2014	11630
Małopolskie	passed	men	2015	9173
Małopolskie	passed	women	2015	11297
Małopolskie	passed	men	2016	9152
Małopolskie	passed	women	2016	11410
Małopolskie	passed	men	2017	9002
Małopolskie	passed	women	2017	11482
Małopolskie	passed	men	2018	9099
Małopolskie	passed	women	2018	11580
Mazowieckie	took	men	2010	22265
Mazowieckie	took	women	2010	27651
Mazowieckie	took	men	2011	20920
Mazowieckie	took	women	2011	26010
Mazowieckie	took	men	2012	20796
Mazowieckie	took	women	2012	25683
Mazowieckie	took	men	2013	20071
Mazowieckie	took	women	2013	24151
Mazowieckie	took	men	2014	19384
Mazowieckie	took	women	2014	23365
Mazowieckie	took	men	2015	18074
Mazowieckie	took	women	2015	21622
Mazowieckie	took	men	2016	17140
Mazowieckie	took	women	2016	20468
Mazowieckie	took	men	2017	17474
Mazowieckie	took	women	2017	20174
Mazowieckie	took	men	2018	17099
Mazowieckie	took	women	2018	19815
Mazowieckie	passed	men	2010	18015
Mazowieckie	passed	women	2010	22719
Mazowieckie	passed	men	2011	15920
Mazowieckie	passed	women	2011	19934
Mazowieckie	passed	men	2012	16628
Mazowieckie	passed	women	2012	20818
Mazowieckie	passed	men	2013	16004
Mazowieckie	passed	women	2013	19783
Mazowieckie	passed	men	2014	13571
Mazowieckie	passed	women	2014	16901
Mazowieckie	passed	men	2015	13439
Mazowieckie	passed	women	2015	16255
Mazowieckie	passed	men	2016	13982
Mazowieckie	passed	women	2016	16672
Mazowieckie	passed	men	2017	13953
Mazowieckie	passed	women	2017	16290
Mazowieckie	passed	men	2018	13712
Mazowieckie	passed	women	2018	16256
Opolskie	took	men	2010	4148
Opolskie	took	women	2010	5067
Opolskie	took	men	2011	3597
Opolskie	took	women	2011	4638
Opolskie	took	men	2012	3502
Opolskie	took	women	2012	4378
Opolskie	took	men	2013	3303
Opolskie	took	women	2013	4104
Opolskie	took	men	2014	2970
Opolskie	took	women	2014	3863
Opolskie	took	men	2015	2888
Opolskie	took	women	2015	3488
Opolskie	took	men	2016	2665
Opolskie	took	women	2016	3446
Opolskie	took	men	2017	2686
Opolskie	took	women	2017	3385
Opolskie	took	men	2018	2522
Opolskie	took	women	2018	3035
Opolskie	passed	men	2010	3368
Opolskie	passed	women	2010	4185
Opolskie	passed	men	2011	2661
Opolskie	passed	women	2011	3510
Opolskie	passed	men	2012	2756
Opolskie	passed	women	2012	3533
Opolskie	passed	men	2013	2610
Opolskie	passed	women	2013	3375
Opolskie	passed	men	2014	2019
Opolskie	passed	women	2014	2754
Opolskie	passed	men	2015	2188
Opolskie	passed	women	2015	2622
Opolskie	passed	men	2016	2132
Opolskie	passed	women	2016	2708
Opolskie	passed	men	2017	2093
Opolskie	passed	women	2017	2619
Opolskie	passed	men	2018	1971
Opolskie	passed	women	2018	2384
Podkarpackie	took	men	2010	10459
Podkarpackie	took	women	2010	13194
Podkarpackie	took	men	2011	9937
Podkarpackie	took	women	2011	12784
Podkarpackie	took	men	2012	9405
Podkarpackie	took	women	2012	12344
Podkarpackie	took	men	2013	8959
Podkarpackie	took	women	2013	11403
Podkarpackie	took	men	2014	8437
Podkarpackie	took	women	2014	10449
Podkarpackie	took	men	2015	8154
Podkarpackie	took	women	2015	9826
Podkarpackie	took	men	2016	7463
Podkarpackie	took	women	2016	9373
Podkarpackie	took	men	2017	7575
Podkarpackie	took	women	2017	9385
Podkarpackie	took	men	2018	7244
Podkarpackie	took	women	2018	8667
Podkarpackie	passed	men	2010	8263
Podkarpackie	passed	women	2010	10890
Podkarpackie	passed	men	2011	7303
Podkarpackie	passed	women	2011	9632
Podkarpackie	passed	men	2012	7408
Podkarpackie	passed	women	2012	9900
Podkarpackie	passed	men	2013	7056
Podkarpackie	passed	women	2013	9485
Podkarpackie	passed	men	2014	5678
Podkarpackie	passed	women	2014	7663
Podkarpackie	passed	men	2015	6035
Podkarpackie	passed	women	2015	7394
Podkarpackie	passed	men	2016	5870
Podkarpackie	passed	women	2016	7608
Podkarpackie	passed	men	2017	5850
Podkarpackie	passed	women	2017	7355
Podkarpackie	passed	men	2018	5712
Podkarpackie	passed	women	2018	7112
Podlaskie	took	men	2010	6004
Podlaskie	took	women	2010	7371
Podlaskie	took	men	2011	5643
Podlaskie	took	women	2011	6970
Podlaskie	took	men	2012	5483
Podlaskie	took	women	2012	6721
Podlaskie	took	men	2013	5360
Podlaskie	took	women	2013	6375
Podlaskie	took	men	2014	4867
Podlaskie	took	women	2014	5907
Podlaskie	took	men	2015	4441
Podlaskie	took	women	2015	5390
Podlaskie	took	men	2016	4112
Podlaskie	took	women	2016	5032
Podlaskie	took	men	2017	4108
Podlaskie	took	women	2017	4824
Podlaskie	took	men	2018	3797
Podlaskie	took	women	2018	4624
Podlaskie	passed	men	2010	4785
Podlaskie	passed	women	2010	6024
Podlaskie	passed	men	2011	4271
Podlaskie	passed	women	2011	5412
Podlaskie	passed	men	2012	4429
Podlaskie	passed	women	2012	5545
Podlaskie	passed	men	2013	4294
Podlaskie	passed	women	2013	5309
Podlaskie	passed	men	2014	3380
Podlaskie	passed	women	2014	4474
Podlaskie	passed	men	2015	3253
Podlaskie	passed	women	2015	4164
Podlaskie	passed	men	2016	3277
Podlaskie	passed	women	2016	4120
Podlaskie	passed	men	2017	3292
Podlaskie	passed	women	2017	3891
Podlaskie	passed	men	2018	3028
Podlaskie	passed	women	2018	3809
Pomorskie	took	men	2010	9165
Pomorskie	took	women	2010	11798
Pomorskie	took	men	2011	8546
Pomorskie	took	women	2011	10811
Pomorskie	took	men	2012	8110
Pomorskie	took	women	2012	10329
Pomorskie	took	men	2013	7735
Pomorskie	took	women	2013	9820
Pomorskie	took	men	2014	7264
Pomorskie	took	women	2014	9173
Pomorskie	took	men	2015	7054
Pomorskie	took	women	2015	8910
Pomorskie	took	men	2016	6338
Pomorskie	took	women	2016	8117
Pomorskie	took	men	2017	6626
Pomorskie	took	women	2017	8244
Pomorskie	took	men	2018	6665
Pomorskie	took	women	2018	7933
Pomorskie	passed	men	2010	7488
Pomorskie	passed	women	2010	9629
Pomorskie	passed	men	2011	6503
Pomorskie	passed	women	2011	7938
Pomorskie	passed	men	2012	6546
Pomorskie	passed	women	2012	8260
Pomorskie	passed	men	2013	6247
Pomorskie	passed	women	2013	7938
Pomorskie	passed	men	2014	5200
Pomorskie	passed	women	2014	6476
Pomorskie	passed	men	2015	5259
Pomorskie	passed	women	2015	6428
Pomorskie	passed	men	2016	5071
Pomorskie	passed	women	2016	6414
Pomorskie	passed	men	2017	5198
Pomorskie	passed	women	2017	6418
Pomorskie	passed	men	2018	5171
Pomorskie	passed	women	2018	6133
Śląskie	took	men	2010	19020
Śląskie	took	women	2010	22991
Śląskie	took	men	2011	17624
Śląskie	took	women	2011	21466
Śląskie	took	men	2012	16497
Śląskie	took	women	2012	19682
Śląskie	took	men	2013	15809
Śląskie	took	women	2013	19232
Śląskie	took	men	2014	14522
Śląskie	took	women	2014	17211
Śląskie	took	men	2015	13707
Śląskie	took	women	2015	16100
Śląskie	took	men	2016	13039
Śląskie	took	women	2016	15322
Śląskie	took	men	2017	13288
Śląskie	took	women	2017	15054
Śląskie	took	men	2018	12633
Śląskie	took	women	2018	14565
Śląskie	passed	men	2010	15412
Śląskie	passed	women	2010	19030
Śląskie	passed	men	2011	13276
Śląskie	passed	women	2011	16329
Śląskie	passed	men	2012	13214
Śląskie	passed	women	2012	16004
Śląskie	passed	men	2013	12800
Śląskie	passed	women	2013	15785
Śląskie	passed	men	2014	10163
Śląskie	passed	women	2014	12367
Śląskie	passed	men	2015	10354
Śląskie	passed	women	2015	12208
Śląskie	passed	men	2016	10086
Śląskie	passed	women	2016	11963
Śląskie	passed	men	2017	10242
Śląskie	passed	women	2017	11670
Śląskie	passed	men	2018	9851
Śląskie	passed	women	2018	11680
Świętokrzyskie	took	men	2010	5943
Świętokrzyskie	took	women	2010	7533
Świętokrzyskie	took	men	2011	5590
Świętokrzyskie	took	women	2011	7252
Świętokrzyskie	took	men	2012	5442
Świętokrzyskie	took	women	2012	7093
Świętokrzyskie	took	men	2013	5179
Świętokrzyskie	took	women	2013	6382
Świętokrzyskie	took	men	2014	4776
Świętokrzyskie	took	women	2014	6022
Świętokrzyskie	took	men	2015	4471
Świętokrzyskie	took	women	2015	5710
Świętokrzyskie	took	men	2016	4229
Świętokrzyskie	took	women	2016	5305
Świętokrzyskie	took	men	2017	3969
Świętokrzyskie	took	women	2017	5238
Świętokrzyskie	took	men	2018	4066
Świętokrzyskie	took	women	2018	4777
Świętokrzyskie	passed	men	2010	4604
Świętokrzyskie	passed	women	2010	6189
Świętokrzyskie	passed	men	2011	4156
Świętokrzyskie	passed	women	2011	5641
Świętokrzyskie	passed	men	2012	4152
Świętokrzyskie	passed	women	2012	5612
Świętokrzyskie	passed	men	2013	4030
Świętokrzyskie	passed	women	2013	5150
Świętokrzyskie	passed	men	2014	3268
Świętokrzyskie	passed	women	2014	4407
Świętokrzyskie	passed	men	2015	3302
Świętokrzyskie	passed	women	2015	4351
Świętokrzyskie	passed	men	2016	3322
Świętokrzyskie	passed	women	2016	4315
Świętokrzyskie	passed	men	2017	3035
Świętokrzyskie	passed	women	2017	4172
Świętokrzyskie	passed	men	2018	3208
Świętokrzyskie	passed	women	2018	3869
Warmińsko-Mazurskie	took	men	2010	5889
Warmińsko-Mazurskie	took	women	2010	7890
Warmińsko-Mazurskie	took	men	2011	5701
Warmińsko-Mazurskie	took	women	2011	7398
Warmińsko-Mazurskie	took	men	2012	5315
Warmińsko-Mazurskie	took	women	2012	7134
Warmińsko-Mazurskie	took	men	2013	4979
Warmińsko-Mazurskie	took	women	2013	6537
Warmińsko-Mazurskie	took	men	2014	4729
Warmińsko-Mazurskie	took	women	2014	6257
Warmińsko-Mazurskie	took	men	2015	4382
Warmińsko-Mazurskie	took	women	2015	5751
Warmińsko-Mazurskie	took	men	2016	4048
Warmińsko-Mazurskie	took	women	2016	5318
Warmińsko-Mazurskie	took	men	2017	4126
Warmińsko-Mazurskie	took	women	2017	5146
Warmińsko-Mazurskie	took	men	2018	3919
Warmińsko-Mazurskie	took	women	2018	4907
Warmińsko-Mazurskie	passed	men	2010	4745
Warmińsko-Mazurskie	passed	women	2010	6340
Warmińsko-Mazurskie	passed	men	2011	4174
Warmińsko-Mazurskie	passed	women	2011	5428
Warmińsko-Mazurskie	passed	men	2012	4125
Warmińsko-Mazurskie	passed	women	2012	5615
Warmińsko-Mazurskie	passed	men	2013	3926
Warmińsko-Mazurskie	passed	women	2013	5290
Warmińsko-Mazurskie	passed	men	2014	3174
Warmińsko-Mazurskie	passed	women	2014	4266
Warmińsko-Mazurskie	passed	men	2015	3164
Warmińsko-Mazurskie	passed	women	2015	4022
Warmińsko-Mazurskie	passed	men	2016	3085
Warmińsko-Mazurskie	passed	women	2016	4024
Warmińsko-Mazurskie	passed	men	2017	3126
Warmińsko-Mazurskie	passed	women	2017	3742
Warmińsko-Mazurskie	passed	men	2018	2968
Warmińsko-Mazurskie	passed	women	2018	3867
Wielkopolskie	took	men	2010	14251
Wielkopolskie	took	women	2010	18497
Wielkopolskie	took	men	2011	13173
Wielkopolskie	took	women	2011	17444
Wielkopolskie	took	men	2012	12877
Wielkopolskie	took	women	2012	16844
Wielkopolskie	took	men	2013	11963
Wielkopolskie	took	women	2013	15769
Wielkopolskie	took	men	2014	11132
Wielkopolskie	took	women	2014	14789
Wielkopolskie	took	men	2015	10760
Wielkopolskie	took	women	2015	13823
Wielkopolskie	took	men	2016	10123
Wielkopolskie	took	women	2016	13093
Wielkopolskie	took	men	2017	10113
Wielkopolskie	took	women	2017	13015
Wielkopolskie	took	men	2018	9824
Wielkopolskie	took	women	2018	12386
Wielkopolskie	passed	men	2010	11337
Wielkopolskie	passed	women	2010	15243
Wielkopolskie	passed	men	2011	9838
Wielkopolskie	passed	women	2011	13245
Wielkopolskie	passed	men	2012	10317
Wielkopolskie	passed	women	2012	13534
Wielkopolskie	passed	men	2013	9524
Wielkopolskie	passed	women	2013	12803
Wielkopolskie	passed	men	2014	7765
Wielkopolskie	passed	women	2014	10340
Wielkopolskie	passed	men	2015	7821
Wielkopolskie	passed	women	2015	10006
Wielkopolskie	passed	men	2016	7964
Wielkopolskie	passed	women	2016	10246
Wielkopolskie	passed	men	2017	7929
Wielkopolskie	passed	women	2017	10110
Wielkopolskie	passed	men	2018	7648
Wielkopolskie	passed	women	2018	9973
Zachodniopomorskie	took	men	2010	6235
Zachodniopomorskie	took	women	2010	8349
Zachodniopomorskie	took	men	2011	5604
Zachodniopomorskie	took	women	2011	7642
Zachodniopomorskie	took	men	2012	5558
Zachodniopomorskie	took	women	2012	7143
Zachodniopomorskie	took	men	2013	5468
Zachodniopomorskie	took	women	2013	6939
Zachodniopomorskie	took	men	2014	5125
Zachodniopomorskie	took	women	2014	6594
Zachodniopomorskie	took	men	2015	4720
Zachodniopomorskie	took	women	2015	5924
Zachodniopomorskie	took	men	2016	4368
Zachodniopomorskie	took	women	2016	5488
Zachodniopomorskie	took	men	2017	4445
Zachodniopomorskie	took	women	2017	5301
Zachodniopomorskie	took	men	2018	4172
Zachodniopomorskie	took	women	2018	5215
Zachodniopomorskie	passed	men	2010	5055
Zachodniopomorskie	passed	women	2010	6624
Zachodniopomorskie	passed	men	2011	4129
Zachodniopomorskie	passed	women	2011	5573
Zachodniopomorskie	passed	men	2012	4342
Zachodniopomorskie	passed	women	2012	5573
Zachodniopomorskie	passed	men	2013	4323
Zachodniopomorskie	passed	women	2013	5507
Zachodniopomorskie	passed	men	2014	3499
Zachodniopomorskie	passed	women	2014	4327
Zachodniopomorskie	passed	men	2015	3386
Zachodniopomorskie	passed	women	2015	4081
Zachodniopomorskie	passed	men	2016	3375
Zachodniopomorskie	passed	women	2016	4144
Zachodniopomorskie	passed	men	2017	3357
Zachodniopomorskie	passed	women	2017	3875
Zachodniopomorskie	passed	men	2018	3247
Zachodniopomorskie	passed	women	2018	3964
